SM-DA,SM-VA,SM-FP,SM-DMN,DA-VA,DA-FP,DA-DMN,VA-FP,VA-DMN,FP-DMN
1.1008,1.0677,0.80896,0.7995,0.87776,0.82769,0.62848,0.72921,0.61859,0.70642
-0.27737,0.19331,-0.24636,-0.029231,0.050167,0.17478,-0.17897,0.029025,0.019312,0.11776
0.16478,0.06256,-0.17174,-0.080769,0.36152,0.18756,-0.011154,0.26293,0.11526,0.20015
0.13034,0.55148,-0.1355,0.047407,0.23519,0.27616,0.049973,0.12666,0.18489,0.25662
0.25791,0.62708,-0.0023573,-0.14324,0.22907,0.31791,0.078744,0.094014,-0.10317,0.3996
-0.093389,0.19426,-0.3325,-0.14278,0.10728,0.12961,0.02288,0.088527,-0.022826,0.13203
0.02283,0.48909,-0.39658,-0.19394,0.047966,0.037667,-0.37887,-0.1368,-0.12311,0.077339
0.16943,0.50773,-0.097706,-0.11481,0.054066,0.22994,0.095027,0.01692,-0.079706,0.26846
-0.002563,0.35812,-0.16623,-0.062522,0.12931,0.12295,-0.096547,0.076858,-0.11223,0.036043
0.0284,0.35248,-0.24026,-0.22031,-0.052852,0.15725,0.18852,-0.036162,-0.15309,0.27371
-0.1135,0.056691,-0.32968,-0.088438,0.077986,0.10731,0.025249,0.037329,-0.010731,0.22765
0.12059,0.30384,-0.072644,0.15305,0.43265,0.26872,-0.11064,0.067639,-0.17367,0.18949
0.44707,0.30182,0.040058,0.03658,0.28341,0.2944,-0.024081,0.045428,-0.092339,0.21503
0.13704,0.36852,-0.1819,-0.21069,0.206,-0.0055575,-0.27161,-0.027577,-0.15057,0.25772
0.14167,0.70203,0.012354,0.079331,0.24269,0.31983,0.10931,0.13674,0.049022,0.35572
0.15351,0.42885,0.00019225,-0.13478,0.077204,-0.0061341,-0.10052,0.023236,-0.057298,0.078824
-0.085404,0.31945,-0.10141,-0.22877,0.074367,0.05828,-0.019477,0.043264,-0.080179,0.060794
-0.34607,0.17738,-0.23035,0.015365,0.19473,0.27249,0.0075557,0.084201,0.057994,0.15564
0.28316,0.24623,-0.13365,0.085563,0.19367,0.27854,0.10138,0.025876,-0.0091627,0.30217
0.32279,0.20343,-0.0030882,-0.10307,0.18149,0.27634,-0.17061,0.1882,-0.045529,0.071291
0.12688,0.096636,-0.054467,0.021192,0.05939,0.093761,-0.065083,0.14775,0.027366,0.12036
-0.26433,0.16915,-0.28966,-0.23675,0.064466,0.35964,0.063304,0.0832,0.11616,0.13021
-0.15666,0.16667,-0.40206,0.018927,0.029531,0.15045,-0.15297,0.00032657,-0.12423,0.16579
-0.069161,0.20011,-0.22787,-0.1167,0.014282,0.10809,-0.086488,0.019974,-0.098622,0.12486
0.25062,0.44089,-0.059327,-0.074496,0.24846,0.2157,0.055129,0.19983,0.014868,0.19829
0.0025534,0.32074,-0.22761,-0.10723,0.059851,0.24219,0.21833,0.071242,0.042944,0.24558
0.45328,0.50605,-0.013562,0.02418,0.48961,0.26977,0.079163,0.062397,-0.0050056,0.27274
-0.1501,0.0087534,-0.30112,-0.095151,0.099026,0.11128,-0.12163,0.031473,-0.12121,0.13612
-0.28317,0.12011,-0.16146,0.17064,0.26301,0.29175,-0.17506,0.13363,0.014031,0.048085
0.20184,0.39076,-0.27101,-0.27778,0.38122,0.029349,-0.33003,-0.026869,-0.14944,0.19118
0.079937,0.071585,-0.25897,-0.24071,0.19941,0.25883,-0.094164,0.13009,-0.024449,0.16015
0.58307,0.51581,0.20122,0.4334,0.41394,0.50536,0.20239,0.22106,0.14469,0.17752
0.070782,-0.0057765,-0.0069302,0.031169,0.18338,0.095843,-0.076689,0.073104,-0.10912,-0.0052848
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
